Calibrando modelo SAC-SMA3S na bacia maringa. Ciclo = 5800. MAXR = 5. Tempo = 10.98 minutos. 
NS;NS_log;erro_vol;UZTWM;UZFWM;UZK;ZPERC;REXP;LZTWM;LZFSM;LZFPM;LZSK;LZPK;PFREE;PCTIM;ADIMP;k;
-0.84614995;-0.78838143;0.00061378;42.92987975;29.35568057;0.47617197;57.41548118;1.75072987;76.87170351;9.34698552;323.94272907;0.01031819;0.01029770;0.35592001;0.04850189;0.02965073;1.53244719;
-0.84330182;-0.79646637;0.00005793;40.44866212;30.71048330;0.45320594;54.41379652;1.83499825;80.89583448;8.39094820;328.93513660;0.01934167;0.01058210;0.34553412;0.04675353;0.02987221;1.62512644;
-0.84381592;-0.80127343;0.00086786;39.34527794;31.37823844;0.44832926;50.67727674;1.75323539;82.54362808;8.42024298;325.19874663;0.01326128;0.01095652;0.34098999;0.04683529;0.02833515;1.50099769;
-0.83316553;-0.81475240;0.00126198;35.82760462;35.32407441;0.40600251;42.13016396;1.79371045;90.42408451;7.81482600;340.27447836;0.01655611;0.01172722;0.32822871;0.04457008;0.02854415;1.40189692;
-0.83569610;-0.81358546;0.00050963;37.01360450;34.56349871;0.41107449;42.93001900;1.77983813;88.70566686;7.31380515;336.95028360;0.01833973;0.01159525;0.33122962;0.04528390;0.02786045;1.45765274;
-0.84548556;-0.79037750;0.00006350;41.22585684;29.57490290;0.46905342;57.15124857;1.77676483;78.73543398;9.06007224;318.54986762;0.01384381;0.01049242;0.34882868;0.04812069;0.02834371;1.55901856;
-0.84469429;-0.79844746;0.00094308;39.68562835;30.61231839;0.45567765;51.89369509;1.75094247;82.35732299;8.60859406;321.50725773;0.01109821;0.01090715;0.34325487;0.04781014;0.02896329;1.55572013;
-0.84585566;-0.78965046;0.00011846;41.77306189;29.21253865;0.47111592;57.37983649;1.78869782;77.88840386;8.85504530;318.13456015;0.01265790;0.01045535;0.34777076;0.04812347;0.02863149;1.56030327;
-0.83359911;-0.81423721;0.00069635;35.51614198;34.59149942;0.40642397;42.67105284;1.79795026;90.54539973;7.43344431;340.06094719;0.01804945;0.01164728;0.32534937;0.04516639;0.02633841;1.40223478;
-0.84482892;-0.79389770;0.00001694;40.75019839;29.94754883;0.46274528;54.14899259;1.76717032;79.48725975;8.46542319;321.51193231;0.01383151;0.01065158;0.34284824;0.04749027;0.02870359;1.54357935;
-0.83445114;-0.81344396;0.00030190;35.88493390;34.40995201;0.40768612;44.09577476;1.86142467;89.52311813;7.47788379;341.29806357;0.02134687;0.01143922;0.32797183;0.04395603;0.02793483;1.46030910;
-0.84476134;-0.79599738;0.00055079;40.43936664;30.27270258;0.46002329;53.35422594;1.75848227;80.84258262;8.75746678;322.06681218;0.01165295;0.01073145;0.34703294;0.04768998;0.02903728;1.55301496;
-0.84393309;-0.79194788;0.00001071;41.33568964;30.29906755;0.45887243;58.69807159;1.88073923;78.68109470;8.71569491;326.97195338;0.02027238;0.01032989;0.34914314;0.04667695;0.03020042;1.52294044;
-0.84191280;-0.80767596;0.00017207;37.79473672;32.43737354;0.43414372;46.20828092;1.72308462;85.86244815;8.05944910;327.80457002;0.01149917;0.01133034;0.33703169;0.04644217;0.02863846;1.51742709;
-0.84437931;-0.79169896;0.00000645;41.06734284;29.87579844;0.46246123;57.16226316;1.84453131;78.72386515;8.72278537;327.69509512;0.01756018;0.01037865;0.34620985;0.04681737;0.02820538;1.49701876;
-0.84223096;-0.80747614;0.00033264;37.69382958;32.36658895;0.43606640;46.56905638;1.72082728;86.37997508;8.30099724;326.72140614;0.01019579;0.01132876;0.33684551;0.04697188;0.02926731;1.52950621;
-0.84507886;-0.79689159;0.00101845;39.71884269;30.54143679;0.45706690;52.74237525;1.72899893;81.47640680;8.65456441;317.56486359;0.01104138;0.01083916;0.34435053;0.04757803;0.02828035;1.61287407;
-0.84474273;-0.79662960;0.00059989;40.30603687;30.76816770;0.45775170;53.26465933;1.73654927;80.33196959;8.79600375;319.82202810;0.01142792;0.01085541;0.34488603;0.04724233;0.02788168;1.51087969;
-0.83719288;-0.81301874;0.00055217;36.37502153;34.02464303;0.41834780;43.02491997;1.74692703;88.84663687;7.81757241;335.07478323;0.01375391;0.01163508;0.33046245;0.04549042;0.02758165;1.42639296;
-0.84499632;-0.79260844;0.00014680;40.77366917;29.69168403;0.46432193;55.80191519;1.78670847;79.09934022;8.91717321;319.55879522;0.01332327;0.01057808;0.34637554;0.04737524;0.02827059;1.51854620;
-0.83694402;-0.81314808;0.00053513;36.41966316;34.15116777;0.41732770;42.96293034;1.75113156;88.76608218;7.75368456;336.32380021;0.01420043;0.01163331;0.32852594;0.04532266;0.02767758;1.42792258;
-0.84513810;-0.79262351;0.00028889;40.62533400;29.66977909;0.46667272;55.36489929;1.76009484;80.13160580;9.04754094;316.57685784;0.01095136;0.01065123;0.34752144;0.04820454;0.03037944;1.63257666;
-0.83057938;-0.81483522;0.00080601;35.48932688;35.30346280;0.39977608;43.82100226;1.95070365;91.03037423;7.19701407;349.47519352;0.02703755;0.01141962;0.32274292;0.04317925;0.02872323;1.42595656;
-0.83587004;-0.81306020;0.00014951;36.81402376;34.38712135;0.41206571;44.51368744;1.82891450;88.71043371;7.50178740;341.75303755;0.01956287;0.01141035;0.33085647;0.04481505;0.02892066;1.45271192;
-0.84378342;-0.80079155;0.00083730;39.30832766;31.25118523;0.44924614;51.53408891;1.78124084;82.68052474;8.44556118;326.76383749;0.01346981;0.01090303;0.34060103;0.04679079;0.03010839;1.52408460;
-0.83894338;-0.81163249;0.00045232;36.15659884;33.26492606;0.42002968;43.47037235;1.72230985;88.67196336;7.67720444;329.54056874;0.01340609;0.01156025;0.33294304;0.04587433;0.02794068;1.55750590;
