Calibrando modelo SAC-SMA3S na bacia maringa. Ciclo = 1800. MAXR = 8. Tempo = 3.86 minutos. 
NS;NS_log;erro_vol;UZTWM;UZFWM;UZK;ZPERC;REXP;LZTWM;LZFSM;LZFPM;LZSK;LZPK;PFREE;PCTIM;ADIMP;k;
-0.79579661;-0.78016047;0.00048483;33.63428682;39.76109769;0.35015286;81.14345314;3.15952821;105.60971525;5.15626814;392.72514035;0.14263663;0.00853294;0.34203771;0.04265696;0.07014645;4.51497241;
-0.80831357;-0.77326757;0.00150122;36.69015414;37.11319338;0.37926587;89.50542156;2.96511860;98.38757906;7.21074081;367.69266069;0.12344400;0.00814762;0.36273693;0.04680163;0.07316450;4.36429730;
-0.80711113;-0.76012866;0.00001635;35.58684498;35.63089012;0.39855151;97.10936584;3.08455034;106.69230135;9.74799036;381.15745701;0.11436094;0.00718169;0.38130820;0.05082319;0.08781840;4.97535141;
-0.79624472;-0.77732292;0.00008258;29.45159191;39.08031039;0.35295547;84.53202785;3.12378004;116.08535917;6.77541586;391.77869834;0.13431648;0.00837900;0.34017279;0.04712728;0.07877586;4.42621771;
-0.80439053;-0.76842375;0.00000173;34.94447076;35.64829206;0.37919575;93.14715864;3.11971263;105.93109313;7.28969692;391.53292585;0.12811995;0.00765641;0.38164949;0.04817433;0.08842636;4.68730654;
-0.80027870;-0.78215336;0.00063536;33.42777233;38.18535133;0.34988591;75.01193156;2.98780632;102.10635619;6.90686457;366.47951919;0.12918060;0.00894171;0.32481828;0.04419939;0.06400022;4.19023350;
-0.79364443;-0.76229314;0.00000050;27.59753281;30.62229375;0.38089150;90.74449026;3.01440522;111.40457652;6.77458189;369.46463408;0.11465203;0.00766877;0.36419660;0.04687642;0.07879303;4.75563415;
-0.80695158;-0.76796530;0.00024238;33.92650914;36.47128384;0.38475617;95.57292566;3.04994456;104.92777599;8.50896438;382.97735581;0.12957072;0.00755089;0.37082212;0.04745493;0.08004294;4.68274381;
-0.80632178;-0.76883323;0.00023767;33.76121143;36.51530559;0.38242022;94.66053546;3.05759987;105.38156903;8.74131451;378.53115406;0.12965184;0.00779630;0.36594437;0.04795958;0.07883753;4.50478999;
-0.80754102;-0.75922295;0.00003458;35.81992444;35.86645161;0.40939181;106.51830335;3.19166245;106.10947911;9.16378983;381.47197165;0.14128947;0.00729730;0.38420515;0.05066113;0.09041739;4.95372823;
-0.80560272;-0.77380307;0.00000385;33.04393673;36.05928235;0.37768970;91.79523983;3.11166333;106.42023281;6.53742131;390.51985061;0.12863832;0.00794149;0.36095513;0.04603457;0.07767933;4.43740422;
-0.80178984;-0.77602373;0.00003098;33.18118938;35.91969862;0.36299205;86.80359781;3.07323488;104.33789652;6.27034857;384.71586559;0.12726154;0.00825777;0.35392673;0.04540601;0.07728571;4.48783316;
-0.80538759;-0.77601531;0.00039724;34.11672894;35.54201544;0.36872283;85.16597220;2.98695226;103.37818886;5.59365619;373.31656645;0.12142315;0.00830009;0.36135831;0.04636608;0.07095565;4.49191012;
-0.79812480;-0.77657729;0.00007936;36.07308345;39.51027538;0.36059603;87.12300413;3.11008203;102.69621833;6.63663775;382.39409484;0.14162656;0.00850527;0.35282232;0.04578523;0.08160369;4.70234137;
-0.80832173;-0.76434934;0.00051729;35.53867838;34.88808192;0.38857253;97.02866037;3.00663292;100.90445669;8.70964617;374.49576267;0.12538348;0.00737539;0.38005075;0.04869072;0.08418416;4.70976413;
-0.80450819;-0.77655763;0.00004289;34.48765549;36.35091206;0.36771201;84.85440984;3.05220068;104.48513508;6.17239284;384.41803429;0.12221335;0.00825264;0.36564562;0.04560105;0.07477283;4.32364686;
-0.79925824;-0.78429151;0.00086783;30.43079207;36.63367643;0.34672815;76.25956862;2.86924266;97.99899586;6.73808827;381.32526640;0.11428928;0.00863123;0.30494348;0.04062644;0.06708322;4.35365609;
-0.80638414;-0.76299630;0.00004509;36.16449166;36.06767439;0.38378899;97.09965680;3.08022192;104.24333001;8.45040866;396.53775008;0.14043673;0.00701936;0.39033884;0.05010513;0.09071165;4.88904448;
-0.80950139;-0.77533758;0.00221536;35.92178871;35.30151870;0.37925378;84.79332229;3.01179678;97.57860345;7.79689599;378.52216835;0.12594513;0.00794345;0.35824385;0.04550062;0.07044532;4.14766027;
-0.80577115;-0.77050180;0.00006629;34.37431132;34.35511710;0.37752708;90.36701526;3.06059130;102.23637220;7.03152577;381.60612860;0.12979265;0.00771165;0.36562419;0.04701828;0.07974866;4.52741991;
-0.80913878;-0.76232943;0.00090908;37.21955375;34.08772344;0.39577103;96.04225387;3.04667289;98.87647294;8.15832758;382.60053504;0.12663097;0.00724991;0.38925662;0.04846974;0.08225799;4.49596233;
-0.80150724;-0.77171164;0.00000129;34.16109378;37.46060473;0.37034784;89.81794900;3.05200132;105.74618536;7.92120252;381.60619752;0.12697442;0.00813485;0.36626244;0.04715985;0.08161905;4.64052976;
-0.80599308;-0.77341079;0.00082256;35.55311083;36.29830868;0.37591362;86.64053049;3.03170919;102.99086210;7.47707711;376.24546985;0.12317524;0.00815745;0.36581621;0.04767793;0.07869489;4.47335380;
-0.80055480;-0.77477332;0.00002863;31.62953480;35.69634612;0.35979334;86.99025908;2.99475083;105.30678238;6.60507181;375.16971730;0.12540421;0.00827114;0.34714206;0.04639515;0.08068356;4.67572662;
-0.80585689;-0.76816465;0.00008534;33.96958732;37.05381475;0.38082448;93.29324482;3.03833453;105.02696680;8.45282129;389.73173540;0.13008069;0.00747842;0.37794890;0.04666204;0.08361498;4.71986598;
-0.80589678;-0.77521982;0.00008798;34.86197517;35.75383680;0.36978597;91.89082634;3.07639659;102.97503354;6.16751462;372.61882475;0.12971781;0.00835279;0.37205320;0.04680644;0.07517590;4.24375936;
-0.80399575;-0.77770899;0.00069799;34.12042519;36.75413647;0.36821414;82.83692918;3.00544178;101.61964291;7.09641147;370.76228631;0.12481835;0.00860911;0.34325413;0.04510263;0.07247856;4.42734613;
-0.80805395;-0.75916272;0.00041712;35.63180772;36.34007118;0.39230617;103.03692543;3.11334433;106.62182041;9.19736811;387.52849280;0.12329840;0.00701873;0.40138085;0.05065060;0.08866051;4.62971953;
-0.80043435;-0.75720718;0.00000018;35.99701650;38.45894622;0.38302161;112.53457991;3.13808470;107.60043076;8.08425049;393.92587071;0.14429416;0.00699364;0.40061131;0.05249780;0.11161447;5.76446416;
