Calibrando modelo SAC-SMA3S na bacia maringa. Ciclo = 1000. MAXR = 12. Tempo = 2.25 minutos. 
NS;NS_log;erro_vol;UZTWM;UZFWM;UZK;ZPERC;REXP;LZTWM;LZFSM;LZFPM;LZSK;LZPK;PFREE;PCTIM;ADIMP;k;
-0.47475997;-0.58402543;0.00000098;89.98767674;85.68587704;0.39922478;140.40633805;3.23922985;89.48960566;56.02005173;446.81335604;0.17992531;0.00932724;0.47795210;0.06533772;0.15379355;5.19683489;
-0.74905599;-0.72710397;0.00005389;54.01520150;69.31203649;0.42643059;126.37459207;3.29806544;106.56812542;18.40473321;385.08690720;0.14696749;0.00792974;0.44890698;0.05544858;0.12188858;5.33150869;
-0.76058373;-0.73947665;0.00688191;35.55923094;62.12624157;0.40709889;112.74128459;3.18854676;140.49395363;11.41999940;358.01629786;0.15024251;0.00939524;0.43581302;0.06176615;0.11394199;5.72138258;
-0.75870200;-0.73529676;0.00057629;48.17679605;63.19049874;0.38438913;129.07283632;3.18331274;117.93763028;9.93859388;393.90854368;0.18723066;0.00833469;0.44942338;0.06431856;0.14511053;5.47190582;
-0.77634713;-0.65842186;0.03134577;42.59895507;62.83627999;0.41772827;148.93470703;3.22201304;137.73276115;34.72672747;408.64698706;0.15705098;0.00380750;0.52965927;0.05969749;0.11694199;6.14634412;
-0.75702872;-0.72674283;0.00000592;43.36647879;64.39309759;0.41001793;129.80679623;3.19322958;134.00117772;8.65897990;367.44629364;0.12085647;0.00876286;0.47426187;0.06264322;0.12849674;5.89679642;
-0.75245686;-0.74464453;0.02352961;47.32435574;63.26139692;0.36713166;120.82863893;3.37239676;103.97727368;6.22817733;452.17522949;0.16997679;0.00677362;0.44359897;0.06010113;0.12173736;5.29038895;
-0.74314828;-0.73875520;0.00095997;53.16292449;67.56399569;0.37662442;142.50398452;3.73367438;123.60048429;7.35245861;465.90503580;0.19742795;0.00691006;0.50120647;0.05990838;0.12953688;5.67754532;
-0.76401867;-0.73917869;0.01316822;38.00186979;60.47463552;0.39832879;132.85119698;3.26742211;133.88494156;7.76702863;414.08443375;0.19330655;0.00831285;0.47759947;0.06505371;0.12869796;6.13331656;
-0.75779834;-0.74096015;0.00289069;35.33754025;64.50800199;0.40247613;114.07343688;3.23228976;138.81133503;13.52357528;396.30741526;0.15928394;0.00777346;0.42811521;0.05781987;0.11327323;5.15379788;
-0.77614341;-0.71287414;0.02940918;66.04618476;55.00737064;0.44757131;144.21057972;3.18055520;115.13577866;12.96581453;405.32044240;0.14185732;0.00676488;0.53727240;0.06434012;0.14750632;6.14453429;
-0.76364702;-0.74126847;0.01115796;45.84389858;67.27786018;0.39498597;140.06724684;3.32062501;126.45298715;12.38189791;421.66752746;0.17588126;0.00694921;0.46130054;0.05612809;0.12057283;5.21828123;
-0.72500361;-0.75009701;0.00026238;47.63320420;69.71818931;0.34997815;112.50791275;3.37119417;127.14118859;8.04607874;457.37044715;0.18597361;0.00933431;0.44291567;0.05301247;0.08546451;5.30670120;
-0.74837525;-0.74631429;0.01442758;51.92891667;66.81107682;0.39241819;109.52177332;3.17041068;132.12676572;10.97139958;467.85461720;0.15681801;0.00788611;0.43513661;0.06005731;0.13041640;4.88335356;
